predecessor	前任;前辈
impetus	推动;促进;推动力
inconsequential	不合理的;不重要的
phenomenal	异常的;杰出的;惊人的
propel	推动;激励
excel	胜过;优于
iteration	重复;重述;重复的(事)
fierce	凶猛的;激烈的;暴躁的
proficiency	精通;熟练
modest	谦虚的;谨慎的;适度的
sophistication	世故的;复杂的
jargon	行话;术语
interchangeably	可交换地;可替换地
inherent	内在的;固有的;与生俱来的
permissible	可允许的
repetitive	重复的;反复性的
tedious	冗长的;乏味无味的
rationale	基本原理;理论
twofold	两倍的;两重的
versatile	多才多艺的;万用的
premise	前提
deterioration	恶化;劣化
vacuum tubes	真空管
photolithography	光刻;光刻法
integrated circuit	集成电路
monolithic	单片的
hybrid IC	混合集成电路
wafer	晶片;晶圆
chip	芯片
yield	成品率
feature size	特征尺寸
pitch	节距
angstrom	埃(长度单位1Å=10nm)Å
power dissipation	功耗
active substrates	半导体材料衬底
inert substrates	惰性材料衬底
specifications	规格
layout	版图
parasitic effects	寄生效应
circuit schematic	电路图
breadboard	面包板;实验板
transconductance	跨导
